 time            v(voutp)        v(voutn)       
 8.11000000e-10  1.27143766e+00  1.10826774e+00 
 8.13000000e-10  1.27166603e+00  1.10804569e+00 
 8.15000000e-10  1.27188839e+00  1.10782956e+00 
 8.17000000e-10  1.27210489e+00  1.10761916e+00 
 8.19000000e-10  1.27231573e+00  1.10741431e+00 
 8.21000000e-10  1.27252108e+00  1.10721483e+00 
 8.23000000e-10  1.27272111e+00  1.10702053e+00 
 8.25000000e-10  1.27291598e+00  1.10683129e+00 
 8.27000000e-10  1.27310584e+00  1.10664698e+00 
 8.29000000e-10  1.27329079e+00  1.10646751e+00 
 8.31000000e-10  1.27347095e+00  1.10629285e+00 
 8.33000000e-10  1.27364640e+00  1.10612298e+00 
 8.35000000e-10  1.27381717e+00  1.10595801e+00 
 8.37000000e-10  1.27398322e+00  1.10579820e+00 
 8.39000000e-10  1.27414437e+00  1.10564406e+00 
 8.41000000e-10  1.27430015e+00  1.10549653e+00 
 8.43000000e-10  1.27444972e+00  1.10535714e+00 
 8.45000000e-10  1.27459161e+00  1.10522823e+00 
 8.47000000e-10  1.27472351e+00  1.10511320e+00 
 8.49000000e-10  1.27484203e+00  1.10501669e+00 
 8.51000000e-10  1.27494250e+00  1.10494474e+00 
 8.53000000e-10  1.27501884e+00  1.10490477e+00 
 8.55000000e-10  1.27506354e+00  1.10490545e+00 
 8.57000000e-10  1.27506788e+00  1.10495629e+00 
 8.59000000e-10  1.27502226e+00  1.10506716e+00 
 8.61000000e-10  1.27491679e+00  1.10524750e+00 
 8.63000000e-10  1.27474201e+00  1.10550561e+00 
 8.65000000e-10  1.27448967e+00  1.10584787e+00 
 8.67000000e-10  1.27415345e+00  1.10627814e+00 
 8.69000000e-10  1.27372957e+00  1.10679737e+00 
 8.71000000e-10  1.27321709e+00  1.10740364e+00 
 8.73000000e-10  1.27261790e+00  1.10809239e+00 
 8.75000000e-10  1.27193635e+00  1.10885713e+00 
 8.77000000e-10  1.27117858e+00  1.10969027e+00 
 8.79000000e-10  1.27035167e+00  1.11058404e+00 
 8.81000000e-10  1.26946272e+00  1.11153134e+00 
 8.83000000e-10  1.26851805e+00  1.11252648e+00 
 8.85000000e-10  1.26752264e+00  1.11356545e+00 
 8.87000000e-10  1.26647985e+00  1.11464600e+00 
 8.89000000e-10  1.26539149e+00  1.11576732e+00 
 8.91000000e-10  1.26425821e+00  1.11692954e+00 
 8.93000000e-10  1.26307998e+00  1.11813313e+00 
 8.95000000e-10  1.26185667e+00  1.11937835e+00 
 8.97000000e-10  1.26058852e+00  1.12066487e+00 
 8.99000000e-10  1.25927648e+00  1.12199153e+00 
 9.01000000e-10  1.25792218e+00  1.12335647e+00 
 9.03000000e-10  1.25652790e+00  1.12475733e+00 
 9.05000000e-10  1.25509618e+00  1.12619158e+00 
 9.07000000e-10  1.25362956e+00  1.12765691e+00 
 9.09000000e-10  1.25213019e+00  1.12915145e+00 
 9.11000000e-10  1.25059970e+00  1.13067394e+00 
 9.13000000e-10  1.24903915e+00  1.13222368e+00 
 9.15000000e-10  1.24744911e+00  1.13380036e+00 
 9.17000000e-10  1.24582988e+00  1.13540386e+00 
 9.19000000e-10  1.24418171e+00  1.13703403e+00 
